cpu: 3.004 sec
cpu: 3.004 sec
cpu: 3.002 sec
cpu: 3.004 sec
cpu: 3.060 sec
cpu: 3.051 sec
cpu: 3.099 sec
cpu: 3.056 sec
cpu: 3.099 sec
cpu: 3.064 sec
cpu: 3.107 sec
cpu: 3.039 sec
cpu: 3.072 sec
cpu: 3.076 sec
cpu: 3.077 sec
cpu: 3.061 sec
cpu: 3.075 sec
cpu: 3.076 sec
cpu: 3.042 sec
cpu: 3.052 sec
cpu: 3.076 sec
cpu: 3.004 sec
cpu: 3.012 sec
cpu: 3.011 sec
cpu: 3.927 sec
cpu: 3.087 sec
cpu: 3.054 sec
cpu: 3.058 sec
cpu: 3.005 sec
cpu: 3.072 sec
cpu: 3.023 sec
cpu: 3.097 sec
cpu: 3.086 sec
cpu: 3.065 sec
cpu: 3.102 sec
cpu: 3.077 sec
cpu: 3.038 sec
cpu: 3.064 sec
cpu: 3.068 sec
cpu: 3.014 sec
cpu: 3.089 sec
cpu: 3.089 sec
cpu: 3.077 sec
cpu: 3.004 sec
cpu: 3.064 sec
cpu: 3.111 sec
cpu: 3.073 sec
cpu: 3.074 sec
cpu: 3.052 sec
cpu: 3.012 sec
cpu: 3.002 sec
cpu: 3.002 sec
cpu: 3.075 sec
cpu: 3.004 sec
cpu: 4.051 sec
cpu: 3.008 sec
cpu: 3.011 sec
cpu: 3.041 sec
cpu: 3.010 sec
cpu: 3.005 sec
cpu: 3.085 sec
cpu: 3.038 sec
cpu: 3.005 sec
cpu: 3.037 sec
cpu: 3.051 sec
cpu: 3.078 sec
cpu: 3.015 sec
cpu: 3.065 sec
cpu: 3.086 sec
cpu: 3.109 sec
cpu: 3.016 sec
cpu: 3.009 sec
cpu: 3.054 sec
cpu: 3.010 sec
cpu: 3.007 sec
cpu: 3.002 sec
cpu: 3.008 sec
cpu: 3.011 sec
cpu: 3.003 sec
cpu: 3.041 sec
cpu: 3.088 sec
cpu: 3.105 sec
cpu: 3.077 sec
cpu: 3.086 sec
cpu: 3.077 sec
cpu: 3.090 sec
cpu: 3.004 sec
cpu: 3.091 sec
cpu: 3.006 sec
cpu: 3.001 sec
cpu: 3.007 sec
cpu: 3.077 sec
cpu: 3.087 sec
cpu: 3.065 sec
cpu: 3.102 sec
cpu: 3.020 sec
cpu: 3.066 sec
cpu: 3.104 sec
cpu: 3.078 sec
cpu: 3.090 sec
